label,host_s,device_ms,single_deg,multi_deg,bus_v,legacy_current_ma,pwm_abs,nfault,awake,step,encoder_raw,velocity_dps,control_mode,legacy_target,phase,pwm_signed_legacy,pid_raw,pid_applied,stall_boost,settled,velocity_target_dps,current_target_ma,current_measured_ma,cascade_pwm
current_+500,0.000599299994064495,182567.0,5.19,0.92,19.42,-0.0,0.0,1.0,1.0,3.0,236.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
current_+500,0.037657199980458245,182654.0,5.19,0.92,19.38,-3.0,274.0,1.0,1.0,3.0,236.0,-0.0,1.0,500.0,0.0,274.0,0.0,0.0,0.0,0.0,0.0,500.0,-3.0,275.0
current_+500,0.04805310000665486,182664.0,8.96,4.7,19.42,497.0,71.0,1.0,1.0,3.0,408.0,128.2,1.0,500.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,500.0,497.0,71.6
current_+500,0.05842849999316968,182674.0,11.67,7.4,19.38,577.0,40.0,1.0,1.0,3.0,531.0,167.3,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,577.0,40.5
current_+500,0.06801970000378788,182684.0,10.33,6.06,19.38,562.0,40.0,1.0,1.0,3.0,470.0,68.6,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,562.0,40.8
current_+500,0.07865250000031665,182695.0,8.2,3.93,19.4,541.0,43.0,1.0,1.0,3.0,373.0,-18.9,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,541.0,43.9
current_+500,0.08826829999452457,182704.0,7.65,3.38,19.42,534.0,45.0,1.0,1.0,3.0,348.0,-27.6,1.0,500.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,500.0,534.0,45.6
current_+500,0.0987394999829121,182715.0,7.91,3.65,19.35,531.0,47.0,1.0,1.0,3.0,360.0,-11.5,1.0,500.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,500.0,531.0,47.0
current_+500,0.1078579000022728,182724.0,7.89,3.63,19.35,545.0,40.0,1.0,1.0,3.0,359.0,-10.1,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,545.0,40.6
current_+500,0.11832399998093024,182734.0,7.89,3.63,19.38,536.0,43.0,1.0,1.0,3.0,359.0,-6.8,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,536.0,43.6
current_+500,0.12788019998697564,182744.0,7.89,3.63,19.38,539.0,41.0,1.0,1.0,3.0,359.0,-4.6,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,539.0,41.7
current_+500,0.13844029998290353,182754.0,7.89,3.63,19.42,545.0,38.0,1.0,1.0,3.0,359.0,-3.1,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,545.0,38.6
current_+500,0.14896339998813346,182765.0,7.89,3.63,19.42,542.0,39.0,1.0,1.0,3.0,359.0,-2.1,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,542.0,39.2
current_+500,0.15818090000539087,182774.0,7.89,3.63,19.42,529.0,43.0,1.0,1.0,3.0,359.0,-1.7,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,529.0,43.9
current_+500,0.16853329999139532,182785.0,7.89,3.63,19.38,531.0,42.0,1.0,1.0,3.0,359.0,-1.1,1.0,500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,500.0,531.0,42.4
current_+500,0.17807289998745546,182794.0,7.89,3.63,19.38,536.0,40.0,1.0,1.0,3.0,359.0,-0.8,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,536.0,40.1
current_+500,0.1886909999884665,182805.0,7.89,3.63,19.38,530.0,41.0,1.0,1.0,3.0,359.0,-0.5,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,530.0,41.7
current_+500,0.19836389998090453,182814.0,7.89,3.63,19.38,522.0,44.0,1.0,1.0,3.0,359.0,-0.3,1.0,500.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,500.0,522.0,44.6
current_+500,0.20889290000195615,182825.0,7.89,3.63,19.38,527.0,41.0,1.0,1.0,3.0,359.0,-0.2,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,527.0,41.8
current_+500,0.2180400999786798,182834.0,7.89,3.63,19.38,522.0,43.0,1.0,1.0,3.0,359.0,-0.2,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,522.0,43.4
current_+500,0.22849499998847023,182844.0,7.89,3.63,19.42,532.0,38.0,1.0,1.0,3.0,359.0,-0.1,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,532.0,38.7
current_+500,0.23798809997970238,182854.0,7.89,3.63,19.37,536.0,36.0,1.0,1.0,3.0,359.0,-0.1,1.0,500.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,500.0,536.0,36.7
current_+500,0.24850529999821447,182864.0,7.89,3.63,19.37,544.0,33.0,1.0,1.0,3.0,359.0,-0.1,1.0,500.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,500.0,544.0,33.2
current_+500,0.2577772999939043,182874.0,7.89,3.63,19.4,525.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,525.0,40.3
current_+500,0.26824330000090413,182884.0,7.89,3.63,19.38,520.0,42.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,500.0,520.0,42.1
current_+500,0.277769599983003,182894.0,7.89,3.63,19.38,516.0,43.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,516.0,43.2
current_+500,0.2884124999982305,182904.0,7.89,3.63,19.42,516.0,42.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,500.0,516.0,42.7
current_+500,0.29811059997882694,182914.0,7.89,3.63,19.4,525.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,525.0,38.6
current_+500,0.3086827999795787,182925.0,7.89,3.63,19.38,524.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,524.0,38.7
current_+500,0.3178639999823645,182934.0,7.89,3.63,19.38,524.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,524.0,38.7
current_+500,0.3283895000058692,182944.0,7.89,3.63,19.42,525.0,37.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,500.0,525.0,38.0
current_+500,0.33804849997977726,182954.0,7.89,3.63,19.4,529.0,36.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,500.0,529.0,36.2
current_+500,0.3486607999948319,182964.0,7.89,3.63,19.38,519.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,519.0,39.6
current_+500,0.35790209998958744,182974.0,7.89,3.63,19.38,517.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,517.0,40.5
current_+500,0.36844329998712055,182984.0,7.89,3.63,19.38,514.0,41.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,514.0,41.2
current_+500,0.37806849999469705,182994.0,7.89,3.63,19.43,512.0,41.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,512.0,41.3
current_+500,0.3887011999904644,183005.0,7.89,3.63,19.41,519.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,519.0,38.5
current_+500,0.39843450000626035,183014.0,7.89,3.63,19.42,505.0,43.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,505.0,43.8
current_+500,0.4089644000050612,183025.0,7.89,3.63,19.42,514.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,514.0,40.1
current_+500,0.4181987000047229,183034.0,7.89,3.63,19.42,506.0,42.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,500.0,506.0,43.0
current_+500,0.4287278999981936,183045.0,7.89,3.63,19.42,517.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,517.0,38.4
current_+500,0.43842839999706484,183054.0,7.89,3.63,19.42,505.0,42.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,500.0,505.0,42.9
current_+500,0.4490071999898646,183065.0,7.89,3.63,19.36,512.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,512.0,39.8
current_+500,0.458333099988522,183074.0,7.89,3.63,19.42,512.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,512.0,39.5
current_+500,0.4679253999784123,183084.0,7.89,3.63,19.42,513.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,513.0,39.1
current_+500,0.47864869999466464,183094.0,7.89,3.63,19.37,508.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,508.0,40.8
current_+500,0.48831950000021607,183104.0,7.89,3.63,19.42,518.0,36.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,500.0,518.0,36.6
current_+500,0.4988612000015564,183115.0,7.89,3.63,19.41,517.0,37.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,500.0,517.0,37.1
current_+500,0.508115499978885,183124.0,7.89,3.63,19.41,509.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,509.0,40.2
current_+500,0.5185957000066992,183135.0,7.89,3.63,19.42,509.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,509.0,39.8
current_+500,0.5282203999813646,183144.0,7.89,3.63,19.42,513.0,38.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,500.0,513.0,38.1
current_+500,0.5380536000011489,183154.0,7.89,3.63,19.38,505.0,41.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,505.0,41.1
current_+500,0.5485481999930926,183164.0,7.89,3.63,19.42,505.0,41.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,500.0,505.0,41.1
current_+500,0.5578954999800771,183174.0,7.89,3.63,19.4,506.0,40.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,500.0,506.0,40.5
current_+500,0.5684171000029892,183184.0,7.89,3.63,19.42,513.0,37.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,500.0,513.0,37.4
current_+500,0.578045000002021,183194.0,7.89,3.63,19.35,498.0,43.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,500.0,498.0,43.6
current_+500,0.5887031999882311,183205.0,7.89,3.63,19.38,514.0,36.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,500.0,514.0,36.8
current_+500,0.5984341999865137,183214.0,7.89,3.63,19.38,507.0,39.0,1.0,1.0,3.0,359.0,-0.0,1.0,500.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,500.0,507.0,39.7
