label,host_s,device_ms,single_deg,multi_deg,bus_v,legacy_current_ma,pwm_abs,nfault,awake,step,encoder_raw,velocity_dps,control_mode,legacy_target,phase,pwm_signed_legacy,pid_raw,pid_applied,stall_boost,settled,velocity_target_dps,current_target_ma,current_measured_ma,cascade_pwm
velocity_+3000,0.0005932999774813652,18683.0,130.63,0.0,19.46,0.0,0.0,1.0,1.0,3.0,5945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_+3000,0.0029958999948576093,18765.0,130.63,0.0,19.47,1.0,0.0,1.0,1.0,3.0,5945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
velocity_+3000,0.012567500001750886,18775.0,130.63,0.0,19.43,72.0,0.0,1.0,1.0,3.0,5945.0,0.0,2.0,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,72.0,0.0
velocity_+3000,0.023165799997514114,18786.0,130.63,0.0,19.43,223.0,9.0,1.0,1.0,3.0,5945.0,0.0,2.0,3000.0,1.0,9.0,0.0,0.0,0.0,0.0,353.2,177.0,223.0,9.5
velocity_+3000,0.03293049999047071,18795.0,130.72,0.09,19.46,346.0,19.0,1.0,1.0,3.0,5949.0,2.8,2.0,3000.0,1.0,19.0,0.0,0.0,0.0,0.0,565.5,283.0,346.0,19.9
velocity_+3000,0.04290719999698922,18805.0,131.18,0.55,19.43,372.0,71.0,1.0,1.0,3.0,5970.0,16.2,2.0,3000.0,1.0,71.0,0.0,0.0,0.0,0.0,783.1,392.0,372.0,71.0
velocity_+3000,0.05366779997712001,18816.0,132.21,1.58,19.46,519.0,72.0,1.0,1.0,3.0,6017.0,42.6,2.0,3000.0,1.0,72.0,0.0,0.0,0.0,0.0,1000.0,500.0,519.0,72.8
velocity_+3000,0.06296549999387935,18825.0,132.8,2.18,19.46,633.0,57.0,1.0,1.0,3.0,6044.0,53.8,2.0,3000.0,1.0,57.0,0.0,0.0,0.0,0.0,1112.0,556.0,633.0,57.1
velocity_+3000,0.07276769998134114,18835.0,133.57,2.94,19.46,825.0,49.0,1.0,1.0,3.0,6079.0,54.3,2.0,3000.0,1.0,49.0,0.0,0.0,0.0,0.0,1363.7,682.0,825.0,49.2
velocity_+3000,0.08268500000122003,18845.0,133.57,2.94,19.46,861.0,93.0,1.0,1.0,3.0,6079.0,36.5,2.0,3000.0,1.0,93.0,0.0,0.0,0.0,0.0,1582.2,791.0,861.0,93.1
velocity_+3000,0.09351039998000488,18856.0,133.79,3.16,19.46,996.0,96.0,1.0,1.0,3.0,6089.0,31.4,2.0,3000.0,1.0,96.0,0.0,0.0,0.0,0.0,1799.1,900.0,996.0,96.8
velocity_+3000,0.10296799999196082,18865.0,134.01,3.38,19.43,1095.0,85.0,1.0,1.0,3.0,6099.0,32.9,2.0,3000.0,1.0,85.0,0.0,0.0,0.0,0.0,1908.9,954.0,1095.0,85.1
velocity_+3000,0.112911099975463,18875.0,134.76,4.13,19.46,1275.0,80.0,1.0,1.0,3.0,6133.0,41.9,2.0,3000.0,1.0,80.0,0.0,0.0,0.0,0.0,2159.0,1079.0,1275.0,80.9
velocity_+3000,0.12292519997572526,18885.0,135.09,4.46,19.46,1315.0,124.0,1.0,1.0,3.0,6148.0,37.7,2.0,3000.0,1.0,124.0,0.0,0.0,0.0,0.0,2382.0,1191.0,1315.0,124.5
velocity_+3000,0.13384969998151064,18896.0,135.73,5.1,19.43,1448.0,129.0,1.0,1.0,3.0,6177.0,45.1,2.0,3000.0,1.0,129.0,0.0,0.0,0.0,0.0,2600.7,1300.0,1448.0,129.4
velocity_+3000,0.14321809998364188,18906.0,136.19,5.56,19.43,1556.0,114.0,1.0,1.0,3.0,6198.0,51.5,2.0,3000.0,1.0,114.0,0.0,0.0,0.0,0.0,2714.5,1357.0,1556.0,114.1
velocity_+3000,0.15306489999056794,18915.0,137.24,6.61,19.46,1739.0,108.0,1.0,1.0,3.0,6246.0,61.2,2.0,3000.0,1.0,108.0,0.0,0.0,0.0,0.0,2968.5,1484.0,1739.0,108.3
velocity_+3000,0.1631117999786511,18925.0,137.64,7.01,19.46,1772.0,152.0,1.0,1.0,3.0,6264.0,52.3,2.0,3000.0,1.0,152.0,0.0,0.0,0.0,0.0,3000.0,1594.0,1772.0,152.5
velocity_+3000,0.1725723999843467,18935.0,137.77,7.14,19.46,1858.0,145.0,1.0,1.0,3.0,6270.0,47.1,2.0,3000.0,1.0,145.0,0.0,0.0,0.0,0.0,3000.0,1650.0,1858.0,145.0
